participant_id,Manip_intimacy,manip_thoughtful,manip_awkward,group_engage,group_enjoy,group_laugh,group_fun,group_close,group_like,group_other_like,group_other_tell,group_other_share,group_other_honest,group_other_know,group_tell,group_intimate,group_honest,group_know,IOS_slider_1,know_prior_study,know_prior_number,self_letter,personA_know,personA_name,personA_convos,PersonB_know,PersonB_name,PersonB_convos,PersonC_know,PersonC_name,PersonC_convos,PersonD_know,PersonD_name,PersonD_convos,technical_issues_p1,session,condition
136B,1,2,2,3,3,3,3,2,3,3,3,2,4,4,3,3,3,3,3.00,1,3,2,2,1,5,#NULL!,#NULL!,#NULL!,1,1,1,#NULL!,#NULL!,#NULL!,,136,1
136C,2,4,1,3,5,2,4,3,4,3,3,3,4,3,4,4,5,3,2.00,2,3,3,1,1,5,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,136,1
136A,1,3,2,4,4,2,2,3,4,4,3,2,4,3,3,2,4,3,4.00,1,3,1,#NULL!,#NULL!,#NULL!,1,1,1,1,0,1,#NULL!,#NULL!,#NULL!,,136,1
137A,2,3,2,4,5,3,3,3,5,4,5,5,5,4,4,3,5,4,6.00,0,4,1,#NULL!,#NULL!,#NULL!,1,0,1,1,0,1,1,0,1,,137,0
137C,1,3,1,4,4,3,4,4,5,5,4,3,4,4,3,3,3,3,4.00,1,4,3,1,0,5,5,1,4,#NULL!,#NULL!,#NULL!,2,1,1,,137,0
137D,3,3,1,5,5,2,4,3,5,3,4,4,4,4,4,4,5,4,4.00,0,4,4,1,0,5,1,1,1,1,0,1,#NULL!,#NULL!,#NULL!,,137,0
137B,4,5,2,4,4,3,4,3,5,3,4,4,4,4,4,3,4,3,2.00,1,4,2,1,1,5,#NULL!,#NULL!,#NULL!,5,1,4,1,0,1,None,137,0
138D,2,1,4,2,3,1,2,1,3,3,2,2,3,2,2,2,4,2,2.00,0,3,4,1,0,5,1,0,1,1,0,1,#NULL!,#NULL!,#NULL!,,138,1
138A,2,3,2,3,3,1,3,2,4,2,3,3,4,3,3,3,5,2,2.00,0,3,1,#NULL!,#NULL!,#NULL!,1,0,1,1,0,1,#NULL!,#NULL!,#NULL!,none,138,1
138C,2,3,1,5,5,1,3,3,4,3,4,4,5,5,5,4,4,4,4.00,0,3,3,1,0,5,1,0,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,138,1
139D,2,3,2,2,3,3,2,1,4,3,4,3,5,3,3,3,5,3,4.00,1,4,4,1,0,5,1,1,1,5,1,4,#NULL!,#NULL!,#NULL!,,139,1
139B,2,4,1,4,4,3,3,2,4,3,3,3,4,3,3,3,4,3,2.00,1,4,2,1,0,5,#NULL!,#NULL!,#NULL!,1,0,1,1,1,1,,139,1
139A,1,1,3,2,2,2,2,1,3,3,2,2,4,2,3,2,4,3,2.00,0,4,1,#NULL!,#NULL!,#NULL!,1,0,1,1,0,1,1,0,1,,139,1
139C,1,3,2,3,4,4,3,4,5,3,4,2,4,3,3,3,5,2,3.00,1,4,3,1,0,5,1,0,1,#NULL!,#NULL!,#NULL!,5,1,4,,139,1
140C,4,4,4,3,3,2,2,2,4,2,3,2,4,2,2,2,4,2,2.00,1,4,3,1,1,5,1,0,1,#NULL!,#NULL!,#NULL!,2,1,3,,140,0
140B,4,5,2,5,4,2,3,3,4,4,3,3,3,3,4,3,5,4,3.00,3,4,2,1,1,5,#NULL!,#NULL!,#NULL!,1,1,1,1,0,1,,140,0
140D,2,4,2,4,3,2,4,4,4,4,4,3,4,4,3,3,4,3,4.00,2,4,4,4,1,3,4,1,4,2,0,2,#NULL!,#NULL!,#NULL!,,140,0
140A,2,4,2,4,4,3,3,3,4,4,3,3,3,3,3,3,4,3,4.00,1,4,1,#NULL!,#NULL!,#NULL!,1,1,1,2,1,2,2,1,2,N/A,140,0
141B,3,4,3,3,3,3,3,2,4,3,4,3,4,3,3,3,4,3,3.00,0,3,2,1,0,5,#NULL!,#NULL!,#NULL!,1,0,1,#NULL!,#NULL!,#NULL!,,141,0
141C,3,4,2,4,5,3,4,3,4,4,4,3,4,3,4,4,5,3,6.00,0,3,3,1,1,4,1,0,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,141,0
142A,2,3,2,3,3,2,3,2,3,3,4,3,4,3,4,2,4,3,3.00,0,4,1,#NULL!,#NULL!,#NULL!,2,0,1,2,0,1,2,1,2,,142,1
142B,2,3,2,3,4,2,3,2,4,4,3,3,3,3,3,3,3,3,5.00,0,4,2,2,0,4,#NULL!,#NULL!,#NULL!,2,0,1,2,0,1,,142,1
142D,2,2,2,3,4,2,3,2,3,3,2,2,3,2,3,3,3,2,3.00,0,4,4,1,0,5,1,0,1,1,0,1,#NULL!,#NULL!,#NULL!,none,142,1
142C,2,4,2,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3.00,0,4,3,1,0,5,2,0,1,#NULL!,#NULL!,#NULL!,1,0,1,,142,1
143A,2,3,2,3,3,2,3,2,3,3,3,3,4,2,3,3,4,2,3.00,1,4,1,#NULL!,#NULL!,#NULL!,1,0,1,2,1,2,1,0,1,,143,0
143B,2,4,2,4,3,3,3,3,4,3,3,3,4,4,3,3,4,3,4.00,1,4,2,1,0,5,#NULL!,#NULL!,#NULL!,1,0,1,3,1,4,,143,0
143C,2,3,3,2,3,3,3,2,4,3,2,3,4,2,2,2,4,2,2.00,0,4,3,1,0,5,1,0,1,#NULL!,#NULL!,#NULL!,1,0,1,,143,0
143D,3,3,3,2,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3.00,1,4,4,1,0,5,3,1,3,1,0,1,#NULL!,#NULL!,#NULL!,n/a,143,0
144A,2,2,2,3,2,2,2,2,3,3,3,3,4,3,3,2,4,3,4.00,0,3,1,#NULL!,#NULL!,#NULL!,1,0,1,1,0,1,#NULL!,#NULL!,#NULL!,,144,1
144C,1,3,2,3,3,2,3,3,3,3,3,3,4,4,4,3,4,4,4.00,0,3,3,1,0,5,1,0,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,144,1
144B,2,3,3,3,2,1,2,1,3,1,2,1,5,1,3,1,4,2,2.00,1,3,2,1,1,4,#NULL!,#NULL!,#NULL!,1,0,3,#NULL!,#NULL!,#NULL!,,144,1
146D,4,4,3,4,4,3,4,2,4,3,4,3,4,3,3,3,4,3,4.00,0,3,4,3,0,5,1,0,1,1,0,1,#NULL!,#NULL!,#NULL!,,146,0
146A,3,4,1,4,4,2,3,3,4,4,4,3,4,4,3,3,4,3,4.00,0,3,1,#NULL!,#NULL!,#NULL!,1,0,1,1,0,1,#NULL!,#NULL!,#NULL!,N/A,146,0
145A,3,2,2,3,4,3,3,2,4,4,4,3,4,4,4,3,5,4,4.00,1,#NULL!,1,#NULL!,#NULL!,#NULL!,3,1,3,1,0,1,#NULL!,#NULL!,#NULL!,"There was only one other person in the group, so 2 total including me and person C answers aren't for an actual person",145,0
145C,4,4,2,5,5,3,5,4,5,4,4,4,5,5,5,5,5,5,5.00,1,3,3,1,1,3,1,0,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,I only had one other group member not 3. there was no option for just 2,145,0
148B,4,4,3,3,4,5,4,2,5,3,2,3,3,3,2,2,4,2,4.00,2,3,2,1,0,5,#NULL!,#NULL!,#NULL!,3,1,3,#NULL!,#NULL!,#NULL!,,148,0
148A,5,4,3,4,4,3,4,3,3,3,4,4,4,4,4,4,4,3,4.00,1,3,1,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,,148,0
148C,3,4,2,5,5,5,5,3,5,5,3,3,4,3,2,2,4,3,4.00,1,3,3,1,1,5,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,None!,148,0
149B,4,4,2,4,4,2,3,2,4,3,4,3,4,3,4,3,4,3,5.00,1,3,2,3,1,3,#NULL!,#NULL!,#NULL!,1,0,1,#NULL!,#NULL!,#NULL!,,149,0
149A,3,4,2,3,4,3,4,3,4,4,4,3,4,3,4,3,4,4,4.00,1,3,1,#NULL!,#NULL!,#NULL!,3,1,3,1,0,1,#NULL!,#NULL!,#NULL!,NA,149,0
